,acc,loss,val_acc,val_loss
0,0.23179999999,2.10765306221,0.325,1.90657001019
1,0.350200000019,1.83959508057,0.3867,1.73445664482
2,0.40102,1.69905044548,0.4042,1.65861042576
3,0.439419999981,1.58326968174,0.466,1.50424457912
4,0.46824,1.49554530575,0.4625,1.50552427902
5,0.495119999962,1.41639778694,0.4999,1.4061442152
6,0.521960000019,1.35725564808,0.5225,1.34771103745
7,0.543240000038,1.29966037937,0.5059,1.42723450947
8,0.55816,1.25479957726,0.548,1.28036785088
9,0.575739999962,1.21160240807,0.5686,1.23279558582
10,0.588639999981,1.17265871685,0.5699,1.22579564247
11,0.60524,1.13449461794,0.5745,1.20704778538
12,0.616319999962,1.09752602402,0.5955,1.1529675724
13,0.629740000038,1.06334881557,0.6008,1.13969381638
14,0.638619999962,1.03211533272,0.6148,1.1158259697
15,0.65236,1.00014213173,0.5768,1.19250740471
16,0.662259999962,0.969274698906,0.6065,1.11519301529
17,0.671740000019,0.9417628545,0.6233,1.07151307926
18,0.680679999981,0.918589599476,0.6189,1.0957944912
19,0.690379999981,0.891951616211,0.6305,1.07046591568
20,0.6992,0.866564564819,0.649,1.01519236469
21,0.709280000019,0.841364251213,0.634,1.07050670795
22,0.714899999962,0.819519132748,0.6458,1.03181486092
23,0.722039999962,0.797642927685,0.6371,1.07042482738
24,0.732160000038,0.774591480103,0.6434,1.05021799011
25,0.74024,0.754431454296,0.6624,0.997671459198
26,0.745379999981,0.736138071423,0.6559,1.00752151184
27,0.755700000038,0.710575709362,0.6249,1.1276616888
