,acc,loss,val_acc,val_loss
0,0.12432,2.30204109703,0.1872,2.30139101753
1,0.160559999995,2.30033607483,0.1478,2.29856774712
2,0.14252,2.29516667908,0.1276,2.28939906387
3,0.13575999999,2.27402453239,0.1541,2.24572341766
4,0.198799999981,2.17916775215,0.2514,2.08153624535
5,0.250999999995,2.03309054714,0.2697,1.97936399422
6,0.271480000019,1.97918372097,0.29,1.93105181427
7,0.28969999999,1.9415177121,0.3062,1.91108154488
8,0.29958000001,1.90943341881,0.2718,1.99569711075
9,0.3162,1.88219578598,0.2947,1.93966832409
10,0.33187999999,1.84076342018,0.2611,2.05830993977
11,0.34791999999,1.80807448875,0.3624,1.765803302
12,0.36132,1.77141576172,0.3801,1.72249479408
13,0.369300000019,1.74091633091,0.3504,1.77062503242
14,0.37670000001,1.72082954739,0.3862,1.69359227104
15,0.38608000001,1.69685495457,0.3817,1.71471674366
16,0.39526,1.67879574951,0.4014,1.66363546391
17,0.39949999999,1.66277736721,0.4025,1.65567950249
18,0.4085,1.64125151924,0.4092,1.6350359375
19,0.41601999999,1.61874064995,0.4198,1.62648553009
20,0.420820000019,1.60545729355,0.4143,1.5993474329
21,0.42708,1.59373776112,0.4278,1.57954849701
22,0.433539999981,1.58031296841,0.4393,1.56288644257
23,0.43710000001,1.56722027855,0.4475,1.54948364334
24,0.445399999981,1.54976739292,0.4142,1.60308526344
25,0.449119999981,1.53391967587,0.4225,1.58224502449
26,0.449879999981,1.52616899288,0.4567,1.51592765846
27,0.458400000019,1.51167022095,0.4642,1.49346669083
28,0.463219999981,1.500461502,0.4632,1.49232038269
29,0.4686,1.4883408746,0.4431,1.53380906525
30,0.46732,1.48391692596,0.4446,1.52174556408
31,0.47358,1.47007330875,0.4739,1.45738053684
32,0.47776,1.46039919533,0.4717,1.47252540131
33,0.480540000019,1.45074211945,0.4815,1.45147394123
34,0.483900000019,1.4408972435,0.4863,1.43364467888
35,0.488000000019,1.43068562534,0.481,1.44647326126
36,0.492179999981,1.42357492741,0.4904,1.41645986862
37,0.49466,1.41586817173,0.4654,1.48150329456
38,0.49690000001,1.40522961094,0.4996,1.40605357075
39,0.499300000019,1.40275403282,0.4956,1.40505152588
40,0.50568,1.38862381989,0.4874,1.42354930038
41,0.50778,1.37801548058,0.5029,1.40485121307
42,0.511260000019,1.37254614479,0.4939,1.44185065956
43,0.513979999962,1.36370245659,0.4936,1.41866683807
